Guid,CurrencyIsoCode,SBQQ__ProductRule__c,SBQQ__Active__c,SBQQ__AscendingNestedLevel__c,SBQQ__DescendingActionNesting__c,SBQQ__DescendingNestedLevel__c,SBQQ__ProductFeature__c,SBQQ__Product__c,SBQQ__RuleEvaluationEvent__c,SBQQ__RuleType__c,ConfigRuleExternalID__c
04d7e6ba-a520-4680-8406-be13e65df97b,USD,53a99a3f-0664-4e99-930f-1b7eeed283fe,true,#N/A,#N/A,#N/A,#N/A,#N/A,Always,Selection,#N/A
061628f4-2013-489e-bf3d-afd305ea65a2,USD,b308521c-220c-4702-bb9a-7dc9d61dd2c2,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Always,Selection,#N/A
0a229310-c14e-49a3-9650-77d5135dd513,USD,d2e6a92b-0a3b-4e79-af06-616acfc61149,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
0ad1fa43-1899-4d53-be2c-9305bc287be6,USD,69309582-2f3c-4042-bccd-9925c4a2b12a,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Load,Selection,a160t000000gprsAAA20190603221341Z20190603221341Z
0dde2991-a0e1-4829-9bbc-5bf6dd233db8,USD,b308521c-220c-4702-bb9a-7dc9d61dd2c2,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
0e59e6dd-f423-4764-8472-120bf42754d5,USD,a94c4ddc-eb43-4ab8-a77b-61a52b1d329e,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Always,Selection,#N/A
10104d29-88e0-40e9-8482-eaeb80502c51,USD,2a0820a2-9a0b-41ce-9937-02a3f02af456,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
176430ac-e5a0-4700-be52-e8c07fc407cb,USD,a264f0e8-a69c-4a13-bad8-c3a0f4068bcf,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
1b89eece-ab01-4e13-9517-ecd8429ad6fe,USD,48dfe4ce-6366-4a3c-bc8a-e7f392c1769a,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
1bd2bb4d-716e-4e8a-ae9b-4beb87dddb87,USD,0cea268f-feaa-45aa-8463-b559cb6bb2a0,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
1ffcaba1-62d3-44e9-bd39-2a9315a5bc17,USD,249e429b-1639-4a83-9625-b71323eff3c7,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
2059a061-208b-4a74-857c-ba16850111fa,USD,e9a0e6ab-050e-41a4-a60b-fbdbbe8eb893,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Edit,Selection,#N/A
21b7c4ca-4bb2-4838-98e3-cacc20ac833a,USD,dbf3399c-d389-40ab-a643-d9be78658827,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Always,Selection,#N/A
255cd710-4c84-4da2-a4ae-84b54a49b9ec,USD,a94c4ddc-eb43-4ab8-a77b-61a52b1d329e,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
2800b6c6-c1c5-457d-b885-d2065a92a6b8,USD,2da52a79-f301-4f3c-acb7-77967369887b,true,#N/A,#N/A,#N/A,#N/A,4b47df68-cad5-490c-a515-d65b4593c151,Edit,Selection,#N/A
28a27ff3-c30c-48d5-8816-6b8e8ddbe164,USD,9e69e0c6-6502-4600-85e6-a4606d65bbc2,true,#N/A,#N/A,#N/A,#N/A,c43722d8-46f7-4a53-95b0-500b513e0b0d,Always,Selection,#N/A
