Guid,Name,CurrencyIsoCode,SBQQ__EffectiveDate__c,SBQQ__LowerBound__c,SBQQ__PriceBook2__c,SBQQ__Price__c,SBQQ__Product__c,SBQQ__UpperBound__c,PriceFormat__c,OverageRate__c,MixedBlockTierOFPrice__c,ProductCode__c
60e67254-4fa9-4e2e-ae32-c3cdaf98da5f,Tier 1 Professional Tiered Legacy Stakeholder,USD,#N/A,0.0,#N/A,0.0,23c941bd-c319-4136-bd3f-a8b30f435c8b,1.0,FlatFee,#N/A,#N/A,STPPL-BP-XX-CPQ
61399a90-00fe-412f-b644-9e62c050f725,Work.com Stakeholder Tier 3,USD,#N/A,51.0,#N/A,8400.0,0f285a71-3d9b-4c2e-bfe1-475ee7d27e9a,251.0,FlatFee,#N/A,#N/A,SHWK-BP-XX-CPQ
6157ae9d-dff7-400c-9cbe-0aee24483107,Professional Plus Stakeholder User Fee Tier 3,USD,#N/A,51.0,#N/A,700.0,367002fc-3a65-4a35-99db-42e0347be3b0,251.0,FlatFee,#N/A,#N/A,PPSU-BP-MM-CPQ
61a5949a-f4e9-4f95-a985-8e5900d45fe0,Professional Stakeholder Tier 2,USD,#N/A,1.0,#N/A,1800.0,86ec9e71-9297-40d4-aadb-f4ebd4230c99,51.0,FlatFee,#N/A,#N/A,SHPX-BP-XX-CPQ
648b40f7-fa65-471d-99d1-f6a103fb8345,Professional Plus PD.Org Tier 1,USD,#N/A,0.0,#N/A,0.0,e7fb4f5b-847b-40a9-b283-ce700cf8621a,11.0,FlatFee,#N/A,#N/A,PPP-BP-XX-CPQ
66860fe6-9840-443a-8a05-48ed2939e6a8,Standard Stakeholder Tier 2,USD,#N/A,1.0,#N/A,1800.0,65b66f27-653e-4e64-846e-5988a2720e82,51.0,FlatFee,#N/A,#N/A,S2S-BP-XX-CPQ
66c18197-f7b2-4951-a8c5-9b62980b4f73,Professional Services Migration (Micro) Tier 1,USD,#N/A,1.0,#N/A,15000.0,35287239-5c87-443a-bf25-3786d6903253,101.0,FlatFee,#N/A,#N/A,PSVM-SE-SS-CPQ
67665e7b-a0a4-4202-9e16-04263b656283,Team Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,44d351d3-39c0-4ff8-9682-377665d1d9d0,1.0,FlatFee,#N/A,#N/A,S2T-BP-XX-CPQ
67816afe-5479-47f3-b697-da9128a7cc5f,Stakeholder PD.Org Tier 5,USD,#N/A,501.0,#N/A,24000.0,f3f2385c-da26-478c-83df-75f4947d881d,1001.0,FlatFee,#N/A,#N/A,S3PP-BP-XX-CPQ
67eec98e-d125-4eab-9916-2d004a3c9dc5,Tier 4 Standard Tiered Legacy Stakeholder,USD,#N/A,3.0,#N/A,240.0,10f3f097-8c8c-43dd-9ec3-fcbbad623368,4.0,FlatFee,#N/A,#N/A,S2SL-BP-XX-CPQ
69f9f8ee-14c6-4bba-8663-028ca5d87960,Standard Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,63901c13-c9c3-4dfe-b90d-be70986a3bcd,1.0,FlatFee,#N/A,#N/A,SHS-BP-XX-CPQ
6abd00be-ee00-4e1b-b2e3-587231d1f09e,Stakeholder PD.Org Tier 5,USD,#N/A,501.0,#N/A,24000.0,7811e015-30ef-4817-8c52-89807b3adb3b,1001.0,FlatFee,#N/A,#N/A,S3T-BP-XX-CPQ
6b15d847-cca7-4c94-938d-5f50a614fd4d,Tier 6 Business Tiered Legacy Stakeholder,USD,#N/A,5.0,#N/A,240.0,e94c8f03-eb7b-4a73-a0f4-f329a1608dbb,#N/A,FlatFee,240.0,#N/A,S2BL-BP-XX-CPQ-FY21
6bebd7d8-ffb5-44dd-a897-20a0e22cc3cf,Stakeholder PD.Org Tier 2,USD,#N/A,1.0,#N/A,1080.0,c473f9fe-1517-4a3c-8fe6-fbff97063407,51.0,FlatFee,#N/A,#N/A,S3PX-BP-XX-CPQ
6c1ce939-3b48-4879-9ff1-fa3e945c6cc9,Professional Plus Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,1ecd40d1-aa88-44d8-a8ff-a5c15ac97b7f,1.0,FlatFee,#N/A,#N/A,SHPP-BP-XX-CPQ
6cad855a-779b-4a97-9e17-9f9d8da84217,Stakeholder PD.Org Tier 1,USD,#N/A,0.0,#N/A,0.0,f3f2385c-da26-478c-83df-75f4947d881d,1.0,FlatFee,#N/A,#N/A,S3PP-BP-XX-CPQ
6cf802a7-9c9b-4478-8de5-752d220fb18c,Stakeholder User Fee Tier 6,USD,#N/A,1001.0,#N/A,7500.0,133fe117-c33e-4023-a8a7-7abb872479ad,5001.0,FlatFee,#N/A,#N/A,BSPSU-BP-MM-CPQ-FY21
6e240f34-e146-4255-93ca-5bb43566f845,Stakeholder User Tier 4,USD,#N/A,251.0,#N/A,15000.0,7f1be504-05f3-4518-b7f8-c74b1c685c75,501.0,FlatFee,#N/A,#N/A,S2BC-BP-XX-CPQ-FY21
6ee8d6cd-63aa-40fb-81a3-f9529102952e,Professional Stakeholder Tier 5,USD,#N/A,501.0,#N/A,24000.0,3f67ed44-a6d0-4f93-b964-4d6ee31b78c5,1001.0,FlatFee,#N/A,#N/A,STPR-BP-XX-CPQ
701890fa-e8a5-4eac-ab5f-4ec52051a730,Business Stakeholder Tier 3,USD,#N/A,51.0,#N/A,8400.0,8c8bb0e7-3ff8-4874-a8bc-a8ba1a4965fd,251.0,FlatFee,#N/A,#N/A,S2B-BP-XX-CPQ-FY21
70f5aea5-5212-4c88-8355-fe3ef8641b35,Team Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,51a01acd-c95b-4c11-a90e-abb5c9167908,1.0,FlatFee,#N/A,#N/A,SHT-BP-XX-CPQ
71c1d003-7b6e-48c9-8d7c-aad268b913a5,Professional Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,844d059a-e26c-4c2f-bcc7-e01470f66ee2,1.0,FlatFee,#N/A,#N/A,SHP-BP-XX-CPQ
72827a35-eab9-4372-925f-936ccf043522,Stakeholder User Fee Tier 4,USD,#N/A,251.0,#N/A,1250.0,e69f6830-a5c2-4938-a8b0-45417431342d,501.0,FlatFee,#N/A,#N/A,BSPSU-BP-MM-CPQ
737214e8-e5a8-4c5d-bc15-35491f65a319,Tier 2,USD,#N/A,6.0,#N/A,120.0,f14e6a87-1c5a-4415-bc9a-dff9ed79cc24,#N/A,PerUnit,180.0,#N/A,#N/A
74080c96-33f2-481a-85ed-fab4e34c6b93,Tier 5 Business Tiered Legacy Stakeholder,USD,#N/A,4.0,#N/A,240.0,e94c8f03-eb7b-4a73-a0f4-f329a1608dbb,5.0,FlatFee,#N/A,#N/A,S2BL-BP-XX-CPQ-FY21
74dc75d9-3790-44a6-9417-f9b10c3cbd39,Business Stakeholder Tier 3,USD,#N/A,51.0,#N/A,700.0,29827e59-b171-46de-96cb-a3baaf7a60dc,251.0,FlatFee,#N/A,#N/A,TTPS-BP-MM-CPQ
