Guid,CurrencyIsoCode,SBQQ__Rule__c,SBQQ__FilterType__c,SBQQ__FilterValue__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleTargetsQuote__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedVariable__c,ErrorConditionExternalID__c
8e673ab4-b454-4f83-af40-d675e0414427,USD,7a0f6759-bfc4-4e4a-b5cd-36c786f02b25,Value,OTC-XX-XX-CPQ,#N/A,50.0,not equals,true,true,SBQQ__ProductCode__c,Quote Line,#N/A,#N/A
915ab231-d0a7-4a83-943d-a79e2ce77f0c,USD,53a99a3f-0664-4e99-930f-1b7eeed283fe,Value,REP2C-BP-XX-CPQ,#N/A,10.0,not equals,false,false,SBQQ__ProductCode__c,Product Option,#N/A,#N/A
91bec275-b418-4fa2-80ad-222a6925bcc2,USD,8693f151-f8d8-4a4d-aa7c-37b3cec5e90d,Value,1,#N/A,2.0,less than,true,false,#N/A,#N/A,9e2f856b-5ce7-43e0-8999-124d30ea6864,#N/A
92485e0b-d51c-487a-8506-c775586cce74,USD,22170a76-48c4-4782-834a-48faa81bdf60,Value,True,#N/A,#N/A,equals,true,true,Quantity_Should_Not_Sync__c,Quote Line,#N/A,#N/A
93205d4e-ac6a-44c3-8858-e1c64c5d70a3,USD,e9a0e6ab-050e-41a4-a60b-fbdbbe8eb893,Value,0,#N/A,30.0,greater than,false,false,#N/A,#N/A,2dae8071-dafc-4661-9ef1-fc81d2cc5a3a,#N/A
932a852d-7bec-4fab-8bcf-0e838098af7a,USD,98aebdac-2e17-43c7-b809-b436dac5d0c6,Value,TRUE,#N/A,30.0,equals,true,true,Is_Rundeck_Only__c,Quote,#N/A,#N/A
9348d1b7-1cf8-4ea7-b388-8b867fee4db6,USD,d1fa6501-1f91-4f6d-ae13-6030ac2ee0d9,Value,FALSE,#N/A,10.0,equals,true,false,No_Stakeholder_Rate_Plan_Charge__c,Product Option,#N/A,#N/A
95060a8a-4735-4e91-a1a8-bf63ad1a547c,USD,d1fa6501-1f91-4f6d-ae13-6030ac2ee0d9,Value,SSU-AO-SS-CPQ,#N/A,20.0,not equals,true,false,SBQQ__ProductCode__c,Product Option,#N/A,#N/A
950d87b4-77af-4853-bddb-084e3dc917e3,USD,1cce16ae-7c02-4a03-8a7f-a243725f9733,Value,Instances and Clusters,#N/A,#N/A,equals,true,false,fml_Feature_Name__c,Product Option,#N/A,#N/A
958999c4-9cd4-4653-8e80-d9913b6223ee,USD,7a0f6759-bfc4-4e4a-b5cd-36c786f02b25,Value,FALSE,#N/A,40.0,equals,true,true,Admin_Override__c,Quote,#N/A,#N/A
9645451a-b18d-4c1d-9613-297c3ab8f919,USD,2da52a79-f301-4f3c-acb7-77967369887b,Value,#N/A,#N/A,20.0,equals,true,false,#N/A,#N/A,3ada905e-8cb5-43c5-aad8-b415e03a2878,#N/A
9669695b-1205-43ec-af81-6ecca98009a8,USD,b3bd2cf0-2f7b-4006-85e0-7acfcb8bc0df,Value,50,#N/A,10.0,less than,false,true,#N/A,#N/A,dc1991af-b650-4722-a72a-ed67b2c70062,#N/A
99860444-0300-419c-b933-7900c19eb3d3,USD,63852848-27b3-47f8-9058-5e5e25d0aa91,Value,5,#N/A,1.0,greater than,true,true,#N/A,Quote Line,485bcd33-ec72-48f7-a5e8-87c5139f14a1,#N/A
9ba4f8ef-783c-4298-8cf8-a1f1480289a8,USD,68869034-43c2-48a0-94f6-2471e157d15d,Value,Digital Operations,#N/A,1.0,starts with,true,false,SBQQ__ProductName__c,Product Option,#N/A,#N/A
9bd1e4b6-bfc4-402d-ab79-84d0168f679b,USD,48dfe4ce-6366-4a3c-bc8a-e7f392c1769a,Value,0,#N/A,20.0,equals,false,false,#N/A,#N/A,52421ca7-bcae-4274-89d4-d67f1d48fd8d,#N/A
9f39d1dd-2647-4f1f-a21c-84bc40cfeedb,USD,5f219a7a-47d7-4709-a19a-d66951e3912c,Value,0,#N/A,30.0,greater than,true,true,#N/A,#N/A,a304c602-7d72-431c-ab4a-f9b244066e6a,#N/A
9fdfd5f2-aeb7-436d-ae90-95059331ac2b,USD,48dfe4ce-6366-4a3c-bc8a-e7f392c1769a,Value,0,#N/A,60.0,equals,false,false,#N/A,#N/A,2dae8071-dafc-4661-9ef1-fc81d2cc5a3a,#N/A
a0af8096-09a3-414c-8593-def7ef023065,USD,f4f4b6bd-7600-4d0a-8c87-4b2c58bc276c,Value,0,#N/A,20.0,greater than,true,true,#N/A,#N/A,36313caf-82d8-48a9-8cdd-1ca578fa2659,#N/A
